,rewards
1773,9.0
1774,11.0
1775,10.0
1776,22.0
1777,9.0
1778,12.0
1779,24.0
1780,9.0
1781,14.0
1782,8.0
1783,10.0
1784,8.0
1785,29.0
1786,16.0
1787,8.0
1788,9.0
1789,10.0
1790,10.0
1791,25.0
1792,8.0
1793,10.0
1794,11.0
1795,11.0
1796,19.0
1797,11.0
1798,8.0
1799,10.0
1800,10.0
1801,19.0
1802,10.0
1803,19.0
1804,8.0
1805,10.0
1806,9.0
1807,9.0
1808,10.0
1809,12.0
1810,10.0
1811,9.0
1812,10.0
1813,11.0
1814,12.0
1815,9.0
1816,8.0
1817,9.0
1818,9.0
1819,10.0
1820,10.0
1821,8.0
1822,10.0
1823,8.0
1824,9.0
1825,10.0
1826,10.0
1827,10.0
1828,9.0
1829,10.0
1830,9.0
1831,9.0
1832,10.0
1833,8.0
1834,10.0
1835,10.0
1836,11.0
1837,10.0
1838,8.0
1839,10.0
1840,9.0
1841,10.0
1842,10.0
1843,9.0
1844,10.0
1845,10.0
1846,9.0
1847,10.0
1848,8.0
1849,9.0
1850,10.0
1851,10.0
1852,10.0
1853,9.0
1854,12.0
1855,10.0
1856,10.0
1857,10.0
1858,9.0
1859,10.0
1860,10.0
1861,10.0
1862,10.0
1863,10.0
1864,9.0
1865,10.0
1866,10.0
1867,10.0
1868,10.0
1869,9.0
1870,9.0
1871,10.0
1872,10.0
1873,8.0
1874,8.0
1875,10.0
1876,10.0
1877,11.0
1878,10.0
1879,10.0
1880,10.0
1881,8.0
1882,10.0
1883,9.0
1884,8.0
1885,10.0
1886,10.0
1887,9.0
1888,8.0
1889,10.0
1890,10.0
1891,9.0
1892,10.0
1893,10.0
1894,10.0
1895,10.0
1896,12.0
1897,10.0
1898,8.0
1899,10.0
1900,10.0
1901,10.0
1902,10.0
1903,10.0
1904,10.0
1905,10.0
1906,10.0
1907,10.0
1908,11.0
1909,10.0
1910,10.0
1911,10.0
1912,9.0
1913,9.0
1914,10.0
1915,10.0
1916,10.0
1917,10.0
1918,10.0
1919,10.0
1920,10.0
1921,9.0
1922,10.0
1923,10.0
1924,10.0
1925,9.0
1926,10.0
1927,9.0
1928,10.0
1929,9.0
1930,10.0
1931,10.0
1932,10.0
1933,10.0
1934,9.0
1935,9.0
1936,9.0
1937,9.0
1938,10.0
1939,8.0
1940,10.0
1941,10.0
1942,10.0
1943,10.0
1944,10.0
1945,10.0
1946,10.0
1947,8.0
1948,8.0
1949,10.0
1950,9.0
1951,11.0
1952,10.0
1953,10.0
1954,8.0
1955,9.0
1956,9.0
1957,9.0
1958,10.0
1959,10.0
1960,10.0
1961,9.0
1962,9.0
1963,10.0
1964,10.0
1965,9.0
1966,10.0
1967,9.0
1968,11.0
1969,10.0
1970,10.0
1971,10.0
1972,10.0
1973,10.0
1974,10.0
1975,8.0
1976,10.0
1977,9.0
1978,10.0
1979,9.0
1980,9.0
1981,11.0
1982,9.0
1983,10.0
1984,10.0
1985,10.0
1986,10.0
1987,9.0
1988,9.0
1989,8.0
1990,10.0
1991,9.0
1992,10.0
1993,10.0
1994,10.0
1995,10.0
1996,10.0
1997,10.0
1998,10.0
1999,8.0
